Date,Amount
1/8/2023,355150
2/8/2023,87400
3/8/2023,145500
4/8/2023,0
5/8/2023,201700
6/8/2023,56400
7/8/2023,67350
8/8/2023,218800
9/8/2023,80000
10/8/2023,190300
11/8/2023,0
12/8/2023,211200
13/8/2023,190100
14/8/2023,84000
15/8/2023,187000
16/8/2023,191800
17/8/2023,80600
18/8/2023,0
19/8/2023,78100
20/8/2023,105200
21/8/2023,135850
22/8/2023,178000
23/8/2023,128200
24/8/2023,262700
25/8/2023,0
26/8/2023,87350
27/8/2023,127200
28/8/2023,87400
29/8/2023,124900
30/8/2023,163900
31/8/2023,144500
1/9/2023,0
2/9/2023,222400
3/9/2023,132900
4/9/2023,160400
5/9/2023,103100
6/9/2023,80800
7/9/2023,54800
8/9/2023,0
9/9/2023,270000
10/9/2023,225400
11/9/2023,247500
12/9/2023,56000
13/9/2023,160400
14/9/2023,240600
15/9/2023,0
16/9/2023,74200
17/9/2023,286500
18/9/2023,201400
19/9/2023,165000
20/9/2023,145800
21/9/2023,164300
22/9/2023,0
23/9/2023,62600
24/9/2023,144300
25/9/2023,123000
26/9/2023,138700
27/9/2023,139700
28/9/2023,135800
29/9/2023,0
30/9/2023,172800
1/10/2023,54150
2/10/2023,118650
3/10/2023,95550
4/10/2023,121700
5/10/2023,144800
6/10/2023,0
7/10/2023,143250
8/10/2023,164700
9/10/2023,121800
10/10/2023,109800
11/10/2023,133000
12/10/2023,92500
13/10/2023,0
14/10/2023,136950
15/10/2023,164700
16/10/2023,80300
17/10/2023,100800
18/10/2023,71000
19/10/2023,58600
20/10/2023,57800
21/10/2023,15900
22/10/2023,51000
23/10/2023,41900
24/10/2023,119600
25/10/2023,158700
26/10/2023,118500
27/10/2023,0
28/10/2023,157650
29/10/2023,139950
30/10/2023,130900
31/10/2023,46750
1/11/2023,101900
2/11/2023,37900
3/11/2023,0
4/11/2023,101000
5/11/2023,35400
6/11/2023,102900
7/11/2023,125600
8/11/2023,123800
9/11/2023,149700
10/11/2023,0
11/11/2023,56000
12/11/2023,55000
13/11/2023,40800
14/11/2023,117300
15/11/2023,59900
16/11/2023,101300
17/11/2023,0
18/11/2023,36450
19/11/2023,161650
20/11/2023,112000
21/11/2023,59700
22/11/2023,50150
23/11/2023,89800
24/11/2023,0
25/11/2023,58000
26/11/2023,135000
27/11/2023,71500
28/11/2023,29500
29/11/2023,67500
30/11/2023,161400
1/12/2023,0
2/12/2023,145830
3/12/2023,112800
4/12/2023,153500
5/12/2023,111000
6/12/2023,163100
7/12/2023,58300
8/12/2023,0
9/12/2023,132800
10/12/2023,399350
11/12/2023,38250
12/12/2023,75900
13/12/2023,50650
14/12/2023,76800
15/12/2023,0
16/12/2023,113720
17/12/2023,128350
18/12/2023,205360
19/12/2023,204800
20/12/2023,57400
21/12/2023,45700
22/12/2023,0
23/12/2023,77550
24/12/2023,84900
25/12/2023,103900
26/12/2023,43800
27/12/2023,118350
28/12/2023,176500
29/12/2023,0
30/12/2023,109750
31/12/2023,99800
1/1/2024,69300
2/1/2024,59550
3/1/2024,16850
4/1/2024,232600
5/1/2024,0
6/1/2024,171900
7/1/2024,9000
8/1/2024,127950
9/1/2024,134200
10/1/2024,89100
11/1/2024,129300
12/1/2024,0
13/1/2024,104400
14/1/2024,131000
15/1/2024,117300
